file,t,praat_f1,our_f1,praat_f2,our_f2,praat_f3,our_f3,praat_b1,our_b1,praat_b2,our_b2,praat_b3,our_b3
one_two_three_four_five.wav,0.0259999999999998,1054.0600786803548,1054.583928847974,2157.306033673208,2157.771882978849,3303.6280006247484,3304.1040044854462,567.3788978701988,567.0195170900491,532.0450778739162,532.0100543170039,513.758259905448,513.5814168549616
one_two_three_four_five.wav,0.030999999999999802,912.6149532607725,911.0293737511587,2095.9538371404287,2094.25394758577,3310.92171889839,3308.684198327226,1117.3868125329914,1110.7916251679108,776.6350752869672,773.9900934571666,712.1592479071435,713.6670269159042
one_two_three_four_five.wav,0.0359999999999998,283.9049581788021,282.1017365100106,1807.799693129652,1807.4164253390156,2925.375639112561,2925.094123914807,1130.6721383420695,1131.3636549752418,554.0989072046302,554.0784623715193,555.590281864464,555.4364785766647
one_two_three_four_five.wav,0.0409999999999998,1581.835382252327,1580.7588544279495,2819.3094528602023,2818.953678063538,3888.0210091644353,3887.8003002246523,572.0095027981207,571.6622091186958,558.3844882928513,558.3048329951214,467.23235252267864,467.24947494905706
one_two_three_four_five.wav,0.045999999999999805,1510.6167719756575,1510.6048823170406,2830.5591450339443,2830.851355471228,3916.5967255276673,3917.531869924416,677.7073950237468,679.6786723826717,622.2546406254571,623.7188354277114,711.1206797859197,714.9183537661148
one_two_three_four_five.wav,0.0509999999999998,1640.7885955201955,1640.015018180958,2148.678673217561,2146.1637546245547,3176.8398917594927,3177.0392165491076,1753.671883519126,1770.2719150416265,1017.5854093958783,1005.2469087360848,810.5758264220076,808.2111306179
one_two_three_four_five.wav,0.0559999999999998,2027.0893401412204,2024.5452510064283,2032.267548647837,2040.6408692467064,3241.5743564813015,3243.1187287209514,738.7403503406699,741.5556497906197,1734.3426022202116,1724.9579455374205,1176.0817525493999,1187.3230430410763
one_two_three_four_five.wav,0.060999999999999804,1700.269986857135,1698.6219567431403,2370.732866130568,2371.0154152794653,3633.226049699571,3633.4895670451715,843.3224626489217,843.488687457315,939.6552891733364,938.8986310556406,1355.6337037397163,1350.5259332727924
one_two_three_four_five.wav,0.06599999999999981,1546.9121134852642,1546.0699744717426,2305.418877594097,2304.486201369747,3402.168249350297,3400.519741164442,785.2907384093522,784.0761737887336,1118.5918457335742,1121.3889230923132,993.1549388452881,991.1209384805109
one_two_three_four_five.wav,0.0709999999999998,1408.3472399664554,1407.3568696196544,2250.350571613514,2250.6125797902764,3365.860500137987,3366.290098146349,623.987807664,623.0397590596904,978.9305976301699,976.3029788775948,645.0276767760042,642.5723231821695
one_two_three_four_five.wav,0.0759999999999998,1378.696311929925,1379.177729642358,2327.2028132852834,2327.7115697882455,3462.598481437481,3463.2645042207746,783.7164111174998,787.487846184805,915.0759907575572,917.8922708296564,542.3667975244757,543.0735187066459
one_two_three_four_five.wav,0.0809999999999998,1536.1531692533697,1537.262092440897,2343.541781642218,2342.8825940745432,3312.909301484656,3309.346164557121,1304.5960592234662,1308.2075314184233,2274.4913127304585,2295.7716387716537,846.334002001884,847.1651610190033
one_two_three_four_five.wav,0.0859999999999998,1213.6526216422008,1213.060813818913,2627.4328726066383,2627.0163881825465,3251.3624921165697,3251.6602624893067,992.5594733076284,988.1501382919528,1094.642106438621,1088.8391326709468,898.0106150454222,896.8981575843104
one_two_three_four_five.wav,0.0909999999999998,1339.2189349896175,1340.605564711496,2563.2786242006327,2562.943267444406,3220.1671373809463,3220.2460904294676,696.0434166037927,694.427646982109,1262.4717961450656,1266.49670849719,897.6322730573214,899.005971656632
one_two_three_four_five.wav,0.09599999999999981,1489.5149940298952,1490.982901988787,2309.7584564785716,2306.2722569342127,3211.6015726381,3211.013655802261,673.8851542663974,674.9405401191581,1644.3570182292913,1646.6186656799396,877.2530358552017,876.2431189300261
one_two_three_four_five.wav,0.1009999999999998,1660.0869238983105,1660.9315796441915,1928.9876594786729,1921.4120322104739,2992.3400558139783,2989.94987725701,877.0354443280528,879.8077191452459,3146.5321763157026,3178.1077286918103,868.8854583828152,867.9961408316851
one_two_three_four_five.wav,0.1059999999999998,1123.607477135528,1122.2120788191605,2354.5973817594963,2354.1569459311363,3204.205941398022,3207.0814228778813,939.2843776070654,933.3094255990401,873.0327989128494,864.8090436475707,949.519831895328,943.9469975775089
one_two_three_four_five.wav,0.11099999999999981,1182.256661035415,1183.717540335847,2246.7128788191944,2245.4780320503814,3283.7181466321586,3283.3774684676405,835.785319942365,838.8373094199945,622.2804562364815,623.7836291234092,564.7668534555609,563.5373758672645
one_two_three_four_five.wav,0.1159999999999998,1159.2361746950212,1153.826653648639,1928.0317390071766,1926.9179024440275,3219.5561249230186,3219.603022653703,2149.04110761831,2162.1767615443414,619.5318147517318,616.2260328928602,390.3767414342256,388.8644557628624
one_two_three_four_five.wav,0.1209999999999998,1146.2149756868348,1146.4795942605967,2031.497452878972,2033.773919239072,3239.886789085792,3239.8018915753396,1318.3200797173752,1308.1193135950718,688.6210494856324,690.2791582955782,299.4601443448629,299.1847167457524
